Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR1797969_1	5.584375407712918	11.181539314243448
ERR1797969_2	1.811787533723545	19.45549371084992
ERR1797970_1	5.33696673247134	11.28768906954095
ERR1797970_2	1.761490224289058	18.043877875137323
ERR1797971_1	6.122428726369419	11.612881961592004
ERR1797971_2	1.7902458980322615	19.15087189734446
ERR1797972_1	0.7609656291596064	2.2501850519393636
ERR1797972_2	0.2093254655546366	1.1005217201713335
ERR1797973_1	0.6639575107271053	2.9404751070205655
ERR1797973_2	0.19663646071904792	1.2249189465853196
ERR1797974_1	0.5897674531480548	1.441340141256239
ERR1797974_2	0.2034321855638191	1.1172031951391765
