Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR1797969_1_paired	3.1040648403242046	14.47718528319823
ERR1797969_2_paired	1.9271771543808194	18.769935385177597
ERR1797970_1_paired	2.9815986861420676	13.218189316968225
ERR1797970_2_paired	2.092900017475529	17.037373782422527
ERR1797971_1_paired	3.00766131470997	14.442980281451067
ERR1797971_2_paired	2.239041534185919	18.44461199218572
ERR1797972_1_paired	0.28214632405270607	3.0177401956868866
ERR1797972_2_paired	0.2695462012896596	1.0001014630102563
ERR1797973_1_paired	0.48224555822654397	3.32110542772968
ERR1797973_2_paired	0.2579138576102084	1.3863610895222946
ERR1797974_1_paired	0.4293164442611272	2.8033676636086353
ERR1797974_2_paired	0.24243217563087494	1.1681083904842482
